,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
502,8.558328787485758,0.1268060000368734,0.41766126950581867,0.05987755189364603,30,1,2,500,"{'max_depth': 30, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 500}",0.784741144414169,0.7858117326057299,0.7680763983628922,0.7795430917942637,0.008119948007049096,1
501,5.466867844263713,1.2325076688218919,0.36418716112772626,0.1889724045849126,30,1,2,300,"{'max_depth': 30, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",0.7833787465940054,0.7762619372442019,0.7762619372442019,0.7786342070274698,0.0033548961011052626,2
403,7.205492893854777,0.24322653688637416,0.5499980449676514,0.023338623526380525,25,1,2,800,"{'max_depth': 25, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 800}",0.7833787465940054,0.7748976807639836,0.7735334242837654,0.7772699505472515,0.004355329363096968,3
500,1.8165775934855144,0.6365291126065754,0.18851137161254883,0.18810418808083645,30,1,2,100,"{'max_depth': 30, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.7901907356948229,0.7694406548431105,0.772169167803547,0.7772668527804935,0.009206202906420909,4
404,10.516133546829224,0.36352342566421025,0.7248452504475912,0.08081072671790974,25,1,2,1200,"{'max_depth': 25, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 1200}",0.776566757493188,0.7789904502046384,0.7748976807639836,0.7768182961539366,0.0016803063603557438,5
503,13.835318565368652,0.853550938559842,1.1432397365570068,0.3322701125494957,30,1,2,800,"{'max_depth': 30, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 800}",0.7779291553133515,0.7776261937244202,0.772169167803547,0.7759081722804395,0.0026467668691894965,6
301,4.349471886952718,0.21980140240270463,0.37653009096781415,0.10770208459277839,15,1,2,300,"{'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",0.7806539509536785,0.7789904502046384,0.7667121418826739,0.7754521810136635,0.006217342502706325,7
504,17.961899995803833,1.6845704974790545,0.9788220723470052,0.23421711257410885,30,1,2,1200,"{'max_depth': 30, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 1200}",0.7779291553133515,0.7735334242837654,0.7735334242837654,0.7749986679602942,0.0020721674795283157,8
402,6.354385137557983,0.3267033954988801,0.2899971008300781,0.039026843099446394,25,1,2,500,"{'max_depth': 25, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 500}",0.7806539509536785,0.7776261937244202,0.7667121418826739,0.7749974288535908,0.005987560081962517,9
304,17.670662085215252,1.0490217268516193,1.3585415681203206,0.04472187985396365,15,1,2,1200,"{'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 1200}",0.776566757493188,0.772169167803547,0.7735334242837654,0.7740897831935002,0.0018379064533575777,10
401,3.3317668437957764,0.8353200372959813,0.18848911921183267,0.038206571478470466,25,1,2,300,"{'max_depth': 25, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",0.779291553133515,0.7776261937244202,0.762619372442019,0.7731790397666515,0.007497701247517857,11
400,0.9668708642323812,0.09701334422103612,0.11847734451293945,0.08345156863389143,25,1,2,100,"{'max_depth': 25, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.7833787465940054,0.7776261937244202,0.7585266030013642,0.7731771811065965,0.0106223834501327,12
408,7.252484957377116,0.17489205137882688,0.46633513768513996,0.028523922601823667,25,1,5,800,"{'max_depth': 25, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 800}",0.7724795640326976,0.772169167803547,0.7680763983628922,0.7709083767330456,0.00200651647912998,13
405,0.7880668640136719,0.049687001928801544,0.06633273760477702,0.005436624773376075,25,1,5,100,"{'max_depth': 25, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.7779291553133515,0.7694406548431105,0.7653478854024557,0.7709058985196392,0.005239738696818674,14
300,1.5297473271687825,0.9819183106271003,0.13600651423136392,0.11752613607878552,15,1,2,100,"{'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.7833787465940054,0.7585266030013642,0.7694406548431105,0.7704486681461601,0.010170851436061714,15
